,Symbol,Date,Walrasian Price
0,IBM,910124.0,121.125
1,IBM,910107.0,111.5
2,IBM,901206.0,115.375
3,IBM,901112.0,113.0
4,IBM,901218.0,112.25
5,IBM,901109.0,108.75
6,IBM,910111.0,108.0
7,IBM,901121.0,112.5
8,IBM,901116.0,113.25
9,IBM,910123.0,119.75
10,IBM,901213.0,114.5
11,IBM,901128.0,113.125
12,IBM,910130.0,125.875
13,IBM,910116.0,108.875
14,IBM,901115.0,113.375
15,IBM,901101.0,106.375
16,IBM,910103.0,113.0
17,IBM,901108.0,107.0
18,IBM,910115.0,107.0
19,IBM,910110.0,107.75
20,IBM,901205.0,114.25
21,IBM,901120.0,115.0
22,IBM,901119.0,114.5
23,IBM,910122.0,119.125
24,IBM,901217.0,111.25
25,IBM,901212.0,113.375
26,IBM,901224.0,114.0
27,IBM,901107.0,107.75
28,IBM,901221.0,113.875
29,IBM,901114.0,113.5
30,IBM,910129.0,125.0
31,IBM,901228.0,113.625
32,IBM,901211.0,112.625
33,IBM,910102.0,113.375
34,IBM,910114.0,106.75
35,IBM,901204.0,113.375
36,IBM,901123.0,113.5
37,IBM,901130.0,112.625
38,IBM,901227.0,113.5
39,IBM,910118.0,115.875
40,IBM,910109.0,110.0
41,IBM,901127.0,113.875
42,IBM,901106.0,108.375
43,IBM,910121.0,117.75
44,IBM,901220.0,114.25
45,IBM,901203.0,114.0
46,IBM,910128.0,124.5
47,IBM,901231.0,113.25
48,IBM,901210.0,113.25
49,IBM,910125.0,121.375
50,IBM,910104.0,112.75
51,IBM,901207.0,112.0
52,IBM,901113.0,112.75
53,IBM,901219.0,113.75
54,IBM,901214.0,111.625
55,IBM,901226.0,113.625
56,IBM,910108.0,109.25
57,IBM,901126.0,112.375
58,IBM,901129.0,112.25
59,IBM,910131.0,126.875
60,IBM,901102.0,108.0
61,IBM,910117.0,115.5
62,IBM,901105.0,107.625
